0.01	2.8749913065703575e-9
0.012	1.508324340106831e-9
0.013000000000000001	1.0372934331347015e-9
0.014000000000000002	7.54042852666044e-10
0.015	5.65577633416337e-10
0.016	4.4803328720708187e-10
0.017	3.585485469655574e-10
0.018000000000000002	2.9283018882508954e-10
0.019200000000000005	2.36953621203005e-10
0.020600000000000004	1.8732140291161306e-10
0.022199999999999998	1.4687804340254024e-10
0.024	1.1436003753117365e-10
0.026000000000000002	8.597686963309547e-11
0.028100000000000003	6.705776258774609e-11
0.0303	5.2419589788200567e-11
0.032600000000000004	4.158665864162459e-11
0.035	3.3232418558163335e-11
0.037500000000000006	2.6951800985674712e-11
0.04000000000000001	2.2098860573048076e-11
0.042499999999999996	1.849525732722007e-11
0.045	1.57123742708892e-11
0.048	1.330479979415195e-11
0.051500000000000004	1.1200830998369704e-11
0.05550000000000001	9.389785545761578e-12
0.06	7.814847441264052e-12
0.065	6.418002582870857e-12
0.07	5.396742098590186e-12
0.07600000000000001	4.5349374728281176e-12
0.08300000000000002	3.820778511765508e-12
0.091	3.2269531643529014e-12
0.1	2.7145691724560013e-12
0.11000000000000001	2.264353328798831e-12
0.12	1.9383499692171954e-12
0.13	1.6988465518207548e-12
0.14	1.5114713302036026e-12
0.15000000000000002	1.3626430328523555e-12
0.16000000000000003	1.2418173204323017e-12
0.17000000000000004	1.1454499642880128e-12
0.18000000000000005	1.0644910954629253e-12
0.192	9.8642547237507e-13
0.20600000000000002	9.147979928788463e-13
0.22200000000000003	8.483688518994529e-13
0.24	7.851983595576117e-13
0.26	7.265372591456435e-13
0.281	6.782321714020179e-13
0.30300000000000005	6.373949890508958e-13
0.32600000000000007	6.025855463266116e-13
0.35000000000000003	5.733590205513276e-13
0.375	5.476210460606136e-13
0.4	5.26442188902161e-13
0.42500000000000004	5.091681955037116e-13
0.45	4.945515913357389e-13
0.4800000000000001	4.804288452579939e-13
0.515	4.67374037303825e-13
0.555	4.554127103613403e-13
0.6000000000000001	4.445077464516364e-13
0.6500000000000001	4.345861160844335e-13
0.7000000000000001	4.2741938199689124e-13
0.76	4.2193778295187074e-13
0.8300000000000001	4.179362613772243e-13
1.3	4.2346620201317206e-13
1.4000000000000001	4.291084444029069e-13
1.5	4.351136404207502e-13
1.6	4.414692331368417e-13
1.7000000000000002	4.4828644701372256e-13
1.8	4.556589495658927e-13
1.92	4.652318049217748e-13
2.06	4.769596359479012e-13
2.22	4.908889394228167e-13
2.4000000000000004	5.071169459408306e-13
2.6	5.253113784867201e-13
2.81	5.443677547858097e-13
3.03	5.653903192486881e-13
3.2600000000000002	5.87187104132573e-13
3.5	6.099825167533179e-13
3.75	6.335182594540649e-13
4.	6.577741172378134e-13
4.25	6.81868659268725e-13
4.5	7.060160846196492e-13
4.800000000000001	7.352282894374825e-13
5.15	7.703379528561239e-13
5.550000000000001	8.0971996103082e-13
6.	8.534319314982517e-13
6.5	9.023231826545831e-13
7.	9.512810990064803e-13
7.6000000000000005	1.0095404352228142e-12
8.3	1.0785796136564195e-12
9.1	1.1574504889119207e-12
10.	1.2465229154603543e-12
11.	1.34603476298989e-12
12.	1.4465223336154842e-12
13.	1.5454512883974934e-12
14.	1.643598887763913e-12
15.	1.7430730259392415e-12
16.	1.8434497392690352e-12
17.	1.9408262192388463e-12
18.	2.0412367104693427e-12
19.200000000000003	2.160972212070908e-12
20.6	2.2980048738374482e-12
22.200000000000003	2.4517480631297325e-12
24.	2.6293760716783492e-12
26.	2.826132438457123e-12
28.1	3.0322327835519218e-12
30.3	3.251225202551963e-12
32.6	3.480169304200669e-12
35.	3.716214452236213e-12
37.5	3.959099257645741e-12
40.	4.206134906533908e-12
42.5	4.4476497079132106e-12
45.	4.689784230732701e-12
48.	4.981313856082724e-12
51.5	5.320916981268925e-12
55.5	5.7135126230918145e-12
60.	6.156510582343542e-12
65.	6.645508217484728e-12
70.	7.133890899268909e-12
76.	7.727991208028932e-12
83.	8.41921068663834e-12
91.	9.203353174835784e-12
100.	1.0092964824002637e-11
110.	1.1078563736120367e-11
120.	1.2053984185939803e-11
130.	1.3031831654493817e-11
140.	1.4003881427293643e-11
150.	1.4973518194824793e-11
160.	1.5955534442853946e-11
170.	1.693555429760739e-11
180.	1.7912331683959e-11
192.	1.9081875636484362e-11
206.	2.0472560805363646e-11
222.	2.2038923709232762e-11
240.	2.3812186879657508e-11
260.	2.5762440933852512e-11
281.	2.785525784580652e-11
303.	3.0002282441361615e-11
326.	3.227888979785813e-11
350.	3.459786510406827e-11
375.	3.697833508298461e-11
400.	3.941099325904245e-11
425.	4.182753219799798e-11
450.	4.428787756285991e-11
480.	4.72519757478884e-11
515.	5.0722141202099697e-11
555.	5.466955046971505e-11
600.	5.906152950808152e-11
650.	6.388897438595361e-11
700.	6.878624054778661e-11
760.	7.470195080550782e-11
830.	8.153450001356826e-11
910.	8.942594237404105e-11
1000.	9.831412554415029e-11
1100.	1.0821436114187657e-10
1200.	1.1794489882827852e-10
1300.	1.2762673313958267e-10
1400.	1.3728062031973448e-10
1500.	1.470602182758636e-10
1600.	1.5655082859821974e-10
1700.	1.6638450757164983e-10
1800.	1.7624684080394978e-10
1920.	1.8812983157658525e-10
2060.	2.0158563099915216e-10
2220.	2.1733575951704582e-10
2400.	2.3515392130670776e-10
2600.	2.548152723657987e-10
2810.	2.7501097629179304e-10
3030.	2.9656660796513645e-10
3260.	3.193203748995533e-10
3500.	3.423008721908888e-10
3750.	3.667489666091216e-10
4000.	3.9163401731748697e-10
4250.	4.161291464938668e-10
4500.	4.4052036954856596e-10
